sample_index,gold_tokens,mBART,QWEN,Gemma,Aya-Expanse
0,47,14,103,73,160
1,50,13,106,143,136
2,36,16,56,93,100
3,20,15,28,19,35
4,12,13,70,67,64
5,30,146,56,53,100
6,67,13,144,126,148
7,16,16,61,64,46
8,31,29,40,52,109
9,18,16,54,30,67
10,20,32,91,65,110
11,30,27,63,68,56
12,48,38,75,67,93
13,41,12,43,30,57
14,25,33,44,44,48
15,12,17,56,27,52
16,15,15,41,34,36
17,36,33,94,151,195
18,18,19,73,96,119
19,26,25,40,45,72
20,10,11,49,25,51
21,15,14,44,46,53
22,35,16,80,66,102
23,35,20,57,68,78
24,18,13,35,21,38
25,36,19,55,74,96
26,36,25,121,121,124
27,23,19,55,67,83
28,47,38,85,95,94
29,40,30,71,90,114
30,27,27,39,39,46
31,23,26,50,40,76
32,15,15,32,16,35
33,40,33,63,94,156
34,29,20,68,57,85
35,32,22,48,42,57
36,17,27,39,42,37
37,22,14,77,58,61
38,37,74,141,76,108
39,41,21,98,90,69
40,65,59,96,110,108
41,8,23,54,39,84
42,61,29,83,62,64
43,18,17,34,13,34
44,27,21,55,50,46
45,29,22,121,104,177
46,16,14,67,65,102
47,74,49,107,88,85
48,15,16,41,36,71
49,13,13,28,35,42
50,30,12,65,45,64
51,54,39,143,120,138
52,61,41,105,90,102
53,67,26,108,80,91
54,29,17,82,71,67
55,43,23,110,76,102
56,53,13,86,75,103
57,38,20,79,82,102
58,27,11,56,40,63
59,13,19,67,39,89
60,17,10,36,20,41
61,18,13,82,30,57
62,40,30,65,59,68
63,19,15,65,51,77
64,46,42,93,55,106
65,50,33,88,53,107
66,17,21,40,33,40
67,28,15,78,65,92
68,20,8,95,101,75
69,27,41,69,102,105
70,24,38,124,72,100
71,29,18,174,132,203
72,29,25,145,59,126
73,5,5,36,24,30
74,46,13,70,37,77
75,22,76,112,41,177
76,14,12,31,24,22
77,19,11,23,14,20
78,30,31,40,25,36
79,27,22,121,93,170
80,8,21,64,59,58
81,43,56,100,94,117
82,20,12,70,54,91
83,25,19,63,53,56
84,21,51,112,77,102
85,16,13,65,58,76
86,81,60,143,157,227
87,17,15,21,22,47
88,44,43,89,88,66
89,38,65,86,112,112
90,14,18,42,14,54
91,17,24,52,46,57
92,13,57,63,65,100
93,56,48,89,27,106
94,24,16,95,56,62
95,31,14,52,33,69
96,33,58,107,56,115
97,16,14,32,20,28
98,10,10,40,36,59
99,14,42,145,126,117
